amplitude offset frequency phase
1.779394911824373482e+00 1.261714874425026167e-01 3.205101234119036135e+00 9.278412755661908928e-01
1.691250714604212169e+00 2.128210160168459986e-01 3.184222250615628802e+00 1.005350177752317276e+00
1.791339749132332848e+00 2.694458544465305749e-01 3.239516847866535709e+00 8.190822715183299074e-01
1.881674181473780738e+00 2.097900812757380606e-01 3.212097711033210068e+00 8.460533203826113846e-01
1.673643925066067295e+00 1.664845241698573730e-01 3.193120506911655720e+00 9.603383949710918577e-01
1.783189576469445203e+00 -7.598996619870845848e-03 3.173518633992170379e+00 1.041071323928939529e+00
1.807391039017796075e+00 1.467098776127340187e-01 3.210867188372632075e+00 8.307591948393473480e-01
1.772279601705253338e+00 1.610311754291950948e-01 3.242266746958672563e+00 7.501950266967972736e-01
1.644554905251234267e+00 1.180644113882363122e-01 3.178452545087807390e+00 1.010216844866185237e+00
1.864777260287614480e+00 9.473699986787975647e-02 3.223194979857865405e+00 8.894048217986948446e-01
1.835238315772194539e+00 1.214117824417968450e-01 3.150738182722808034e+00 1.120704478781032520e+00
1.639043252929932803e+00 9.225384522587454228e-02 3.193285204327137361e+00 1.016601933644850186e+00
1.599192929895704829e+00 1.345645668376902471e-01 3.198015918798866597e+00 9.121320932494099143e-01
1.920834876585558959e+00 1.412475039330836069e-01 3.201227483741597712e+00 9.569788580506081166e-01
1.723995431521039512e+00 1.281567875449503013e-01 3.208503734206896496e+00 9.187634754652047597e-01
1.977997986395549690e+00 9.131492310744571128e-02 3.209953556267064023e+00 8.296910178301216687e-01
1.922388212773411764e+00 8.579140727993994631e-02 3.227557777903236946e+00 8.294751665429118681e-01
1.823145408965678449e+00 4.489460953776047702e-02 3.197788947052320641e+00 9.854441676294520835e-01
1.931442378351696743e+00 1.448300897882481841e-01 3.190010160654285443e+00 9.375225794269483881e-01
1.806213467441144527e+00 1.594345333024049793e-01 3.234930343065258285e+00 8.709493949457313144e-01
1.748896021158408587e+00 1.176808095913335350e-01 3.189759324728511203e+00 9.957484044288752445e-01
1.765157191923761193e+00 2.146227609262885139e-01 3.255695519196942112e+00 7.612726143574328752e-01
1.790112267907087107e+00 9.380813893995787467e-02 3.157819862094829677e+00 1.002635146188753934e+00
1.764994875547968078e+00 1.315837679030669172e-01 3.182049979651666582e+00 1.049547276043531596e+00
1.731172376343234065e+00 1.099896565280755745e-01 3.205001524433835236e+00 8.542971073152799688e-01
1.771590979327041016e+00 1.044681556616846585e-01 3.207759269611111907e+00 8.791581640285316412e-01
1.894929240770688139e+00 6.090234863144461386e-02 3.243531741713411964e+00 8.062910419768027914e-01
1.691250714604212169e+00 2.128210160168459986e-01 3.184222250615628802e+00 1.005350177752317276e+00
1.716846172788483393e+00 1.228728781141974480e-02 3.196601633118652863e+00 1.026422931146089512e+00
1.925501926806911790e+00 1.581670766105287562e-01 3.196504683363746935e+00 9.225616449131642804e-01
1.900251009308448147e+00 1.067695702190625262e-01 3.202501839958050933e+00 8.688912844423694049e-01
1.944605344174043848e+00 2.145169516086049555e-01 3.208611351092068631e+00 9.158358350674424830e-01
1.922505557455340908e+00 6.101580641220127887e-02 3.184120782836115104e+00 1.021055311481382954e+00
1.677218421755702904e+00 1.624063924924441515e-01 3.211717090681585063e+00 9.144360254499113161e-01
1.777628055167553178e+00 2.205152964555878725e-02 3.213627864436421344e+00 9.200251338414485724e-01
1.892341008094322152e+00 3.573879464949270002e-02 3.248660006363309094e+00 7.579334155822841090e-01
1.953190038927419270e+00 2.800721505212258045e-01 3.197148437446636127e+00 9.808597576469044732e-01
1.955683646519603913e+00 9.496300992499273619e-02 3.266560982181970108e+00 7.468174066849645465e-01
1.864652705939349620e+00 1.531544948438341436e-01 3.223757453391496330e+00 8.733597976342942770e-01
1.697066259661861531e+00 1.403090051851489939e-01 3.239356011947313263e+00 7.856321417567099230e-01
1.956376867991602486e+00 1.940017563443010573e-01 3.186453475967273796e+00 1.001016131565017453e+00
1.843121475370804507e+00 3.267409163532963845e-02 3.216544318482495779e+00 8.189002289211400054e-01
1.816994848540243623e+00 1.110108104259808215e-01 3.256080744947130512e+00 8.147576471416967392e-01
1.827734315418172661e+00 2.589339205794627397e-01 3.213841999168979502e+00 8.222322080532010746e-01
1.841129742179085760e+00 6.677965829167575862e-03 3.194797300656709194e+00 9.404798648728538435e-01
1.658290093869072113e+00 2.074131906810023906e-01 3.173037339476781238e+00 1.063462698344777024e+00
1.891587547528723157e+00 1.126635511582585458e-01 3.208599188248142386e+00 9.582088915970951026e-01
1.736610672181075010e+00 1.806531081866062927e-01 3.207190885155574378e+00 8.317959814803386198e-01
1.640637361310547382e+00 1.858980097019027333e-01 3.195468586282212531e+00 8.651480217126537031e-01
1.651196542093123165e+00 1.524693422759266781e-01 3.197695395561285903e+00 8.578743371572020715e-01
1.567418413486545870e+00 1.966086436723317732e-01 3.160775635453400678e+00 9.591637847735549061e-01
1.698725717082386621e+00 2.059484777174045433e-01 3.185601871501279714e+00 9.710511164262017880e-01
1.710990637734988162e+00 1.370384209194841496e-01 3.184354559714685173e+00 1.053101169195867604e+00
1.743901072289042231e+00 1.868035878045692932e-01 3.183954503722325580e+00 9.258923779610138682e-01
1.814487116317540671e+00 7.243529809164828137e-02 3.242253379976742345e+00 8.642982586709286874e-01
1.863767700235010150e+00 1.038918680085165747e-01 3.192841447070720040e+00 9.152046440292872509e-01
1.796327298672258044e+00 1.632462033190420492e-01 3.206765120149094539e+00 8.448582181739466845e-01
1.723171765425287605e+00 1.693557277991430965e-01 3.209532448046652497e+00 8.466382432973620364e-01
1.762891889001267032e+00 1.677979033471093118e-01 3.215015024822582390e+00 8.730848882923696319e-01
1.786216207675731305e+00 4.583059594380811674e-02 3.259010155372173756e+00 7.878624071027507947e-01
1.823779734091318661e+00 2.294246642412329784e-01 3.195445005229636593e+00 9.643734002942356831e-01
1.707207548636322514e+00 1.499529282713738532e-01 3.224737689006075048e+00 8.845926747168668669e-01
1.797389000710038154e+00 1.702306573233918208e-01 3.234002294383731879e+00 8.591568662347877083e-01
1.897183567962444251e+00 1.195833696556030112e-01 3.225219346481733584e+00 8.695956770615073106e-01
1.775411134756865517e+00 8.513789854847164662e-02 3.206178262374731691e+00 9.088474632528428243e-01
1.758491604084873483e+00 1.269563262437793938e-01 3.197967140505387551e+00 9.499461048890830428e-01
1.778088876770969495e+00 1.315907750119413855e-01 3.212150423342045258e+00 8.618977710142907700e-01
1.755625777012478128e+00 1.233458879800672925e-01 3.208951509348779041e+00 8.288336020528181969e-01
1.752056961659395062e+00 2.021783500920326659e-01 3.184434412852316321e+00 9.324478302571870270e-01
1.710073763639605948e+00 1.233360387056054996e-01 3.180028261244372434e+00 8.704540613631716051e-01
1.894151242381605593e+00 1.683714866286334377e-01 3.192696895105076038e+00 9.275394071081676239e-01
1.818714034946055769e+00 1.529060641723374303e-01 3.223054196292262752e+00 8.597633360115124468e-01
1.727601022000355702e+00 5.600701854466727525e-02 3.220917876048048356e+00 8.474279244318614346e-01
1.887048677066820002e+00 1.190386809369199383e-01 3.244869013128739432e+00 8.208314904365756615e-01
1.872612168955371859e+00 1.194031042793675113e-02 3.199618536161652038e+00 9.211757169434308112e-01
1.759375273756426106e+00 4.810323521258075274e-02 3.193535145745603820e+00 9.671743637049147191e-01
1.783763464639378515e+00 8.094123500374683644e-02 3.207014718356114180e+00 9.767551457658265601e-01
1.824424100970349016e+00 2.131188776059520507e-01 3.198385222674499317e+00 9.646032335247575196e-01
1.740835429526923939e+00 1.618726748822356676e-01 3.185658577916462342e+00 8.919372652087826925e-01
1.724124382071118955e+00 1.115560573932330435e-01 3.177310503420644583e+00 1.003112904188895094e+00
1.791948491701548241e+00 2.355199092019497620e-01 3.159833588265577475e+00 1.021756695796154579e+00
1.741924083202798901e+00 8.404903813210840013e-02 3.168349522258790962e+00 1.169747089932813067e+00
