location amplitude width
5.000434105231599347e+02 1.996515876537394263e+01 3.972031791282554902e+00
4.997741736558126604e+02 1.804824388788414780e+01 4.539018998025793117e+00
4.997988287798987699e+02 1.899058027822425743e+01 4.264360752466271443e+00
5.001753045066914183e+02 2.149097720959471047e+01 3.810933400037719743e+00
4.995721377558940617e+02 2.115363060813499274e+01 4.040309079377833790e+00
4.999421858589309977e+02 1.853483791236032729e+01 4.294917475769995718e+00
5.002816351986224390e+02 2.009556643603089654e+01 4.245586165857409000e+00
5.002328256919304295e+02 2.037844091382251221e+01 3.878145693580799858e+00
5.001317548444077374e+02 1.955414850449061248e+01 4.256254259736498291e+00
5.000306474114528896e+02 1.958524579372386043e+01 4.086184232588562004e+00
4.996864481039450538e+02 1.830184087411685923e+01 4.019696808646619601e+00
5.000889952270592289e+02 2.011954600367862511e+01 3.759545707500176803e+00
4.996395991905851020e+02 1.861334747948519919e+01 4.566959200945504449e+00
4.998699189511855252e+02 1.995852620914564213e+01 4.064403712992301188e+00
5.001493689811259173e+02 1.864188661041247030e+01 4.305457269762937855e+00
4.999685922881565716e+02 1.917919712208835392e+01 4.152129842430996476e+00
4.998349918095270255e+02 1.886207306360844527e+01 4.368959935484296508e+00
5.000498084239322907e+02 1.890076448002901799e+01 4.320918375546936474e+00
4.999035971261665168e+02 1.975721012213460170e+01 4.410281306562278125e+00
4.997824470289978080e+02 1.947461690681902624e+01 4.044875328815393800e+00
4.998826630802417412e+02 1.907686595578513078e+01 4.459183905203192744e+00
4.997105161491975878e+02 1.864989824009502328e+01 4.325563373300743919e+00
4.999268522921417457e+02 2.052460184131528109e+01 3.965160700397015958e+00
5.001464431850843653e+02 1.980567839063103364e+01 4.263885040110521274e+00
4.996390218346525671e+02 2.040846358591373644e+01 4.184046638037895782e+00
5.000351070182638296e+02 1.964055291410927850e+01 3.935325159866581046e+00
5.002096737076325326e+02 2.115439343676810680e+01 4.027894104427351074e+00
4.999617073610731950e+02 2.077704051512810324e+01 4.319991045283147812e+00
5.003426180338918243e+02 1.866296387940855084e+01 4.310841375530610087e+00
4.999391542475674441e+02 2.062524393020045466e+01 4.102715977729212149e+00
5.003748481073146195e+02 1.877793363252024150e+01 4.209321448365949792e+00
4.999763345958204468e+02 2.003165467886480400e+01 3.974461355104569993e+00
4.996858209772326518e+02 1.878384652823955392e+01 4.563699493436936372e+00
4.999876056254843206e+02 2.073993303029918067e+01 4.059392057429404232e+00
4.995639590747272791e+02 1.937241948162606775e+01 4.016332393682194635e+00
4.997523674321365093e+02 1.902011486112461824e+01 4.207935725546257721e+00
4.999960453780001330e+02 2.021496423498999917e+01 4.056706090000907317e+00
5.003959276012531063e+02 1.865327515763160093e+01 4.453739067627076942e+00
4.996864481039450538e+02 1.830184087411685923e+01 4.019696808646619601e+00
5.002471813598990025e+02 1.952771400308443717e+01 3.988478498722439980e+00
5.000796961832969032e+02 1.808274258910955012e+01 4.342540149441634689e+00
5.001160085671136812e+02 1.973838364599192730e+01 4.371009410269408590e+00
5.000553521547016089e+02 1.948178619502519382e+01 4.125975228561686414e+00
4.999920847919582911e+02 1.956813427068284739e+01 3.960659166388023955e+00
4.999002017433532501e+02 2.107116245716347791e+01 3.983678017516469438e+00
4.998499043764128942e+02 2.044794112658716401e+01 4.015439510372468490e+00
4.999727917209913244e+02 1.864287593624965922e+01 4.251738270023325050e+00
5.000937383481780216e+02 1.989795446199795848e+01 4.197359952560351992e+00
4.998026129934872301e+02 1.927628647523125593e+01 4.135502192735278193e+00
4.997441830018075279e+02 1.990529922537234597e+01 3.979782553841555437e+00
5.002218039256239877e+02 1.958087213428127882e+01 4.418301982392009108e+00
5.000604878042642554e+02 2.082034152493749346e+01 3.839729664386241303e+00
5.000704167392805743e+02 1.881236373173901555e+01 4.356846079804279626e+00
4.999406470604671995e+02 1.783872688181436672e+01 4.670367119575609571e+00
4.997105161491975878e+02 1.864989824009502328e+01 4.325563373300743919e+00
4.998965371558894049e+02 1.880209599493926476e+01 4.173220091456213865e+00
5.001985152979709710e+02 1.877650796164460445e+01 4.253770192529653826e+00
5.000119533024488874e+02 2.246443358062218110e+01 3.804250073575402347e+00
5.000918758223273244e+02 1.925582267339488496e+01 4.271105594440459008e+00
5.000040354917463219e+02 1.801751576059451310e+01 4.929366343891238955e+00
4.997677986895002391e+02 2.136061058867574758e+01 3.815293945660480635e+00
4.997677986895002391e+02 2.136061058867574758e+01 3.815293945660480635e+00
5.001258846697565446e+02 1.886951266206588329e+01 4.100047833887249027e+00
4.999237499897786279e+02 2.063064010488963262e+01 4.202374105387305825e+00
4.999481740859922070e+02 2.010049722196295718e+01 4.170224569631770350e+00
4.996792986039577613e+02 1.922951356803507394e+01 3.982834932489233815e+00
4.999179280245270434e+02 1.988826020469711509e+01 4.133564566114176664e+00
5.004259788563235816e+02 1.889118155987841874e+01 3.999088079317700384e+00
4.998730216225533241e+02 1.936014029611367704e+01 4.197316543519112209e+00
4.996340508835331775e+02 1.864233317286625891e+01 4.240632433226499742e+00
4.999813062738586495e+02 1.889412337782613349e+01 4.329572935977585857e+00
5.002986510655646271e+02 2.121465271366508176e+01 3.990999905239010825e+00
5.003140798976387487e+02 1.907740395471817507e+01 4.372793656825415098e+00
5.001166508997877145e+02 1.992285653057718875e+01 4.123128722679004987e+00
4.999716994408513528e+02 1.991793258717689241e+01 4.054881440317901209e+00
5.000697719765043416e+02 2.022929265011369537e+01 4.107073154228177536e+00
4.999984236709649394e+02 1.892406974977734890e+01 4.462927791269192035e+00
5.000815303406222938e+02 1.862996000518855766e+01 4.618084374438209849e+00
4.999769243574411348e+02 1.896876783651980602e+01 4.036988954789128670e+00
4.999341727504152573e+02 1.970593815507823265e+01 4.198347343461504622e+00
5.002434976929897061e+02 1.967123091139762892e+01 4.200425636466003532e+00
4.995525175867461485e+02 1.974975292949002537e+01 4.232697834751494526e+00
4.995481868336210027e+02 1.969186103169229796e+01 4.082393330443840895e+00
4.997187531017737001e+02 1.913044157789860833e+01 4.033220781593096937e+00
4.999145671643749438e+02 1.780232244025470223e+01 4.259917370837219330e+00
4.999061060709456115e+02 1.828006156920735847e+01 4.570859653740213524e+00
5.000384269086523545e+02 1.956667524719826190e+01 4.334399215145563922e+00
5.000659808254125664e+02 1.922016666243411009e+01 4.205537470140045642e+00
5.000561877395830948e+02 2.008913924526989092e+01 4.340987195741771387e+00
5.001248513011800014e+02 1.924352725299748812e+01 4.188724132595411653e+00
5.000916340126314026e+02 1.901334276812093194e+01 4.169581205254583978e+00
5.002084897278741664e+02 1.827809323553715259e+01 4.264964317858032317e+00
4.998838722639512753e+02 1.900326979837118557e+01 4.342832107795858931e+00
4.998577405825941469e+02 1.963465865120378595e+01 4.055405492972612436e+00
4.996406514389640279e+02 1.990352944521688627e+01 4.005994121996880430e+00
4.996406514389640279e+02 1.990352944521688627e+01 4.005994121996880430e+00
5.001673977870730710e+02 1.937867630978888300e+01 3.924812626161192863e+00
